modelo,R2,MAE,RMSE,MAPE%,tempo_s
Lasso_alpha01,-0.009919402129911603,15.34785390621048,19.529698089991854,14.46616806472739,0.008139848709106445
ElasticNet_alpha01_l105,-0.01171401959447893,15.352659246217218,19.54704243493253,14.470892407132178,0.007256507873535156
Ridge_alpha1,-0.015622292569296814,15.362858265426878,19.584761365043697,14.481255559527723,0.00925588607788086
LinearRegression_baseline,-0.015668234043794804,15.362968031313383,19.58520431644727,14.481386254314776,0.0177609920501709
XGBRegressor_Optuna_best,-0.016144897231182842,15.404321409451489,19.589799542793383,14.520633053869538,0.06602120399475098
SVR_rbf,-0.02255707656969297,15.323238166747906,19.651511099176176,14.592106684829865,0.023332595825195312
XGBRegressor_baseline,-0.2244202134249571,16.98823914898891,21.503909170407766,15.948085788042398,0.5171909332275391
